id;top
11871;[5397, 3656, 5977, 1996, 4129, 2725, 6612, 5321, 2727, 1882]
11872;[5649, 2684, 439, 3037, 1795, 1669, 1996, 393, 1354, 4325]
11873;[5397, 4129, 1996, 2727, 439, 2725, 5237, 1882, 6612, 3656]
11874;[5397, 2725, 4129, 5321, 3656, 6868, 2727, 5977, 2711, 5332]
11875;[5397, 6869, 6868, 6875, 4129, 4633, 5332, 1409, 4975, 6871]
11876;[5397, 6869, 6868, 4129, 6875, 5332, 1409, 6871, 5310, 5977]
11877;[5397, 6869, 6856, 4129, 1854, 6875, 5977, 6868, 1860, 4975]
11878;[6868, 4975, 1409, 6871, 5397, 6875, 6869, 6879, 6870, 6877]
11879;[6871, 6875, 6869, 6879, 1409, 6882, 4975, 6870, 6868, 6876]
11880;[6824, 6808, 6820, 6833, 6854, 4975, 1854, 6831, 6370, 1860]
11881;[6808, 6824, 6875, 4975, 6871, 6823, 6879, 6831, 1409, 6882]
11882;[6875, 6871, 6879, 6870, 6882, 6876, 6878, 6868, 1409, 6877]
11883;[6871, 6869, 6875, 6882, 6879, 6876, 6877, 1409, 6881, 6868]
11884;[6871, 6875, 6868, 6879, 6882, 1409, 4975, 6869, 6876, 6874]
11885;[6871, 6875, 1409, 6879, 6868, 4975, 6869, 6876, 6882, 6877]
11886;[6875, 6868, 6871, 6882, 5397, 6879, 1409, 4975, 6869, 6878]
11887;[6875, 6868, 5397, 5321, 6878, 6879, 6871, 1409, 6869, 6882]
11888;[6875, 6868, 6871, 6879, 5397, 6878, 6833, 1409, 6882, 5321]
11889;[6875, 6868, 6871, 1409, 5397, 6879, 6878, 4975, 6869, 6876]
11890;[6875, 6871, 1409, 6879, 5397, 6878, 6868, 6882, 4975, 6833]
11891;[6875, 6871, 6868, 6879, 1409, 6882, 6869, 6874, 6878, 6876]
11892;[6875, 6879, 6833, 1409, 4975, 5397, 6871, 6868, 6878, 6877]
11893;[6875, 6871, 5397, 1409, 6879, 4975, 6882, 6868, 6878, 5332]
11894;[6871, 1409, 6875, 6879, 4975, 6868, 5397, 1860, 6882, 1854]
11895;[6875, 6871, 6868, 6870, 6881, 6869, 1409, 6879, 6876, 6882]
11896;[6875, 6871, 6879, 6876, 1409, 6882, 6870, 4975, 6868, 6869]
11897;[6875, 6871, 6879, 6868, 6882, 6876, 1409, 6870, 6874, 6877]
11898;[6875, 6871, 6882, 1409, 6879, 6868, 6876, 6870, 6869, 6878]
11899;[6875, 6871, 6882, 6870, 6869, 6876, 6879, 6881, 6873, 6874]
11900;[6875, 6871, 6876, 6882, 6879, 6870, 1409, 6869, 6881, 6868]
11901;[6875, 6871, 6882, 6870, 6879, 6876, 6874, 6869, 6868, 1409]
11902;[6875, 6871, 6882, 6870, 1409, 6869, 6879, 6874, 6876, 6881]
11903;[6875, 6871, 6879, 6869, 1409, 6876, 6877, 6870, 6882, 6868]
11904;[6871, 6875, 6869, 6882, 6870, 6876, 6834, 6879, 6868, 1409]
11905;[6871, 6875, 6874, 6879, 6876, 6882, 6869, 1409, 6870, 6877]
11906;[6871, 6875, 6870, 6874, 6882, 6879, 6876, 6868, 1409, 6877]
11907;[6871, 6875, 6874, 6879, 6882, 6876, 6870, 6868, 1409, 6869]
11908;[6871, 6875, 6882, 6870, 6874, 6868, 6879, 6876, 6869, 1409]
11909;[6871, 6875, 6879, 6874, 6868, 6870, 6876, 6882, 1409, 6869]
11910;[6871, 6875, 6882, 6870, 6868, 6879, 6874, 6876, 1409, 6877]
11911;[6875, 6871, 6879, 6882, 1409, 6877, 6870, 6876, 6874, 4975]
11912;[6882, 6871, 6875, 6870, 6879, 6868, 1409, 6876, 6877, 6874]
11913;[6871, 6882, 6870, 6868, 6875, 6879, 1409, 6876, 6877, 6881]
11914;[6871, 6882, 6870, 6879, 6875, 6876, 6868, 6881, 1409, 6877]
11915;[6871, 6875, 6882, 6870, 6868, 6879, 6876, 6869, 6881, 1409]
11916;[6875, 6871, 6882, 6834, 6869, 6879, 6868, 6881, 1409, 4975]
11917;[6871, 6875, 6868, 6882, 6870, 6879, 6878, 1409, 6869, 6881]
11918;[6871, 6875, 6870, 6882, 6869, 6879, 6876, 6881, 6868, 6877]
11919;[6871, 6875, 6879, 1409, 6882, 6869, 6870, 4975, 6868, 6877]
11920;[6871, 6875, 6882, 6879, 6869, 1409, 6870, 6876, 6868, 6877]
11921;[6871, 6868, 6875, 1409, 6882, 4975, 6869, 6879, 6878, 6876]
11922;[6871, 6875, 6868, 1409, 6869, 6879, 6882, 4975, 6876, 6874]
11923;[6868, 6871, 6869, 6875, 4975, 1409, 5397, 6882, 6879, 6878]
11924;[6868, 6871, 4975, 6875, 5397, 6869, 1409, 6879, 6882, 1860]
11925;[6868, 6875, 6869, 6871, 5397, 1409, 4975, 6879, 6878, 6882]
11926;[6868, 5397, 6875, 6869, 4975, 6871, 1409, 6879, 4633, 6878]
11927;[6875, 6871, 6868, 1409, 6882, 6879, 4975, 6869, 5397, 6878]
11928;[6871, 6875, 6882, 6869, 6868, 6879, 6834, 6833, 6876, 6878]
11929;[6871, 6882, 6875, 6869, 6868, 6879, 6876, 6870, 1409, 6874]
11930;[6871, 6875, 6882, 6876, 6879, 6869, 6868, 6834, 6870, 1409]
11931;[6871, 6875, 6869, 6882, 6876, 1409, 6834, 6879, 6868, 6833]
11932;[6834, 6833, 6871, 6875, 4975, 1409, 6869, 6882, 6865, 6822]
11933;[6871, 6869, 6875, 6834, 6876, 6882, 1409, 6879, 6881, 4975]
11934;[6871, 6869, 6875, 6882, 6834, 6876, 6879, 6881, 1409, 6870]
11935;[6871, 6875, 6882, 6876, 6869, 6879, 1409, 6870, 6877, 6872]
11936;[6871, 6875, 6882, 6869, 6876, 6879, 6870, 1409, 6877, 6872]
11937;[6871, 6875, 6869, 6876, 6882, 6868, 6879, 1409, 6870, 6877]
11938;[6871, 6875, 6882, 1409, 6879, 6869, 6876, 6872, 6870, 6868]
11939;[6875, 6871, 6882, 6870, 6876, 6879, 1409, 6869, 6881, 6872]
11940;[6871, 6882, 6875, 6870, 6876, 6868, 6879, 6869, 1409, 6874]
11941;[6871, 6870, 6875, 6882, 6876, 6879, 6868, 6881, 1409, 6872]
11942;[6875, 6871, 6870, 6876, 6882, 6879, 6872, 6868, 6873, 6878]
11943;[6875, 6870, 6871, 6882, 6876, 6879, 6872, 6878, 6874, 6868]
11944;[6871, 6875, 6870, 6882, 6876, 6879, 1409, 6872, 6881, 6873]
11945;[6875, 6871, 6870, 6882, 6876, 6879, 1409, 6868, 6872, 6874]
11946;[6871, 6875, 6882, 6869, 6876, 1409, 6868, 6870, 6879, 4975]
11947;[6871, 6875, 6882, 6869, 6868, 6874, 6876, 1409, 6870, 6879]
11948;[6871, 6875, 6870, 6869, 6882, 6868, 6834, 6876, 6879, 1409]
11949;[6871, 6869, 6875, 6882, 6879, 5397, 6834, 4975, 1409, 6877]
11950;[6871, 6869, 6875, 6834, 6882, 6876, 4975, 6868, 6870, 6879]
11951;[6871, 6869, 6875, 6882, 6870, 6868, 6876, 6879, 1409, 6881]
11952;[6870, 6871, 6875, 6869, 6868, 6879, 6876, 6882, 6874, 6881]
11953;[6871, 6868, 6875, 6882, 1409, 6879, 6869, 4975, 6870, 6874]
11954;[6869, 6875, 6871, 6868, 6749, 4975, 1409, 6879, 6882, 6876]
11955;[6871, 6875, 6882, 6868, 6869, 6879, 1409, 5397, 6870, 6876]
11956;[6871, 6868, 6875, 1409, 6869, 6882, 6879, 4975, 6876, 6878]
11957;[6871, 6868, 6875, 1409, 6869, 6882, 4975, 6879, 6878, 6874]
11958;[6871, 6868, 6875, 6882, 1409, 6869, 6879, 6874, 6870, 6876]
11959;[6871, 6875, 6868, 1409, 4975, 6879, 6878, 6882, 6869, 6870]
11960;[6875, 6868, 6871, 6869, 6879, 1409, 6878, 4975, 6882, 6870]
11961;[6871, 6875, 1409, 4975, 6868, 5397, 6879, 6869, 6882, 6878]
11962;[6871, 6868, 6869, 6875, 1409, 4975, 6882, 6879, 5397, 6878]
11963;[6808, 5397, 4975, 6847, 6869, 6875, 6833, 6865, 6856, 6871]
11964;[6875, 5397, 6871, 6869, 4975, 6879, 6868, 6833, 6808, 6882]
11965;[6875, 6871, 6879, 6869, 6882, 5397, 1409, 6856, 4975, 6878]
11966;[5397, 6869, 6808, 6871, 6875, 6805, 6868, 6856, 6879, 4975]
11967;[6871, 6875, 6869, 6868, 4975, 6879, 5397, 1409, 6882, 6749]
11968;[6871, 4975, 6833, 6858, 6875, 1854, 6808, 5397, 1409, 6879]
11969;[6871, 6875, 6833, 4975, 6882, 6879, 1409, 261, 6877, 6824]
11970;[6871, 4975, 6875, 1409, 6879, 6868, 6833, 6881, 6869, 6882]
11971;[6871, 6869, 6875, 6879, 5397, 4975, 6868, 1860, 6882, 1409]
11972;[6869, 6868, 4975, 5397, 6875, 1854, 6871, 1860, 1409, 6749]
11973;[6870, 6871, 6875, 6868, 6882, 6881, 6869, 6872, 6879, 6873]
11974;[6871, 6875, 6876, 6882, 6870, 6879, 6873, 1409, 6872, 6877]
11975;[6871, 6875, 1409, 4975, 6882, 6868, 6879, 6876, 6877, 6870]
11976;[6875, 6871, 6868, 6878, 6879, 4975, 6882, 1409, 6876, 5397]
11977;[6871, 6875, 6868, 6882, 6879, 6876, 1409, 4975, 6870, 6873]
11978;[6871, 6875, 6882, 6868, 1409, 6879, 6869, 6878, 6874, 4975]
11979;[6871, 6875, 6833, 4975, 6869, 1409, 6879, 6882, 6868, 6834]
11980;[6871, 6875, 6869, 6882, 6878, 6868, 6879, 1409, 6881, 6870]
11981;[6871, 6875, 6869, 6868, 6879, 6882, 1409, 6876, 1860, 1854]
11982;[6871, 6875, 6882, 6870, 6868, 6879, 6878, 6869, 6876, 1409]
11983;[6871, 6882, 6868, 6869, 6870, 6875, 6881, 6879, 1409, 6874]
11984;[6871, 6882, 6875, 6870, 6868, 6869, 6879, 1409, 6876, 6881]
11985;[6871, 6882, 6875, 6870, 1409, 6881, 6879, 6869, 6868, 6877]
11986;[6871, 6882, 6875, 6868, 6879, 6870, 6876, 1409, 6877, 6869]
11987;[6871, 6875, 6882, 6868, 6879, 6870, 1409, 6878, 6876, 6877]
11988;[6882, 6870, 6871, 6868, 6875, 6879, 6878, 6876, 1409, 6877]
11989;[6871, 6882, 6875, 6870, 6879, 6876, 1409, 6868, 6881, 6877]
11990;[6871, 6875, 6882, 6870, 6879, 6876, 6868, 1409, 6869, 6877]
11991;[6871, 6875, 6882, 6879, 6868, 1409, 4975, 6869, 6876, 6877]
11992;[6871, 6868, 6882, 4975, 1409, 6875, 6808, 6879, 1854, 1860]
11993;[6871, 6875, 6882, 6869, 6879, 1409, 6870, 6868, 6877, 6881]
11994;[6871, 6875, 6868, 6882, 6869, 6870, 6879, 6874, 1409, 6876]
11995;[6871, 6875, 6868, 6870, 6879, 6882, 6869, 6876, 1409, 6878]
11996;[6868, 6875, 6871, 6878, 1409, 6869, 6879, 6882, 5397, 4975]
11997;[6875, 5397, 6868, 6871, 6869, 6879, 4975, 1409, 6882, 6878]
11998;[6871, 6875, 6868, 1409, 6869, 4975, 6882, 6879, 614, 5397]
11999;[6871, 6869, 6868, 6882, 6875, 6879, 1409, 5397, 6858, 4975]
12000;[6871, 6875, 6868, 6882, 6869, 6879, 1409, 6874, 6876, 5397]
12001;[6868, 6871, 6882, 6875, 5397, 1409, 6879, 4975, 6869, 6878]
12002;[6871, 6868, 6882, 6875, 6869, 6879, 1409, 5397, 4975, 6876]
12003;[6871, 6868, 6875, 6879, 5397, 4975, 6882, 6869, 6873, 6876]
12004;[6868, 6871, 6882, 6869, 6879, 6875, 4975, 1409, 5397, 6878]
12005;[6868, 6871, 6882, 6879, 6875, 6870, 6874, 6876, 6877, 6869]
12006;[6868, 6871, 6873, 6870, 6875, 6882, 6879, 6869, 6872, 4975]
12007;[6871, 6875, 6868, 6869, 6882, 6879, 1409, 6873, 4975, 6872]
12008;[6871, 6875, 6868, 6882, 6869, 6879, 6870, 1409, 6878, 6874]
12009;[6875, 6871, 6869, 6868, 6882, 1409, 6879, 6870, 4975, 6749]
12010;[6871, 6868, 6875, 6869, 6882, 1409, 6879, 6874, 6870, 1854]
12011;[6871, 6875, 6868, 6869, 6882, 6870, 1409, 6874, 6879, 6881]
12012;[6871, 6875, 6870, 6869, 6868, 6879, 6878, 6882, 1409, 6876]
12013;[6871, 6875, 6868, 6878, 6879, 4975, 6882, 6869, 6833, 1409]
12014;[6833, 6875, 1854, 6871, 1860, 5332, 6749, 6878, 6834, 6865]
12015;[6875, 6871, 6870, 6868, 6833, 6879, 6834, 6882, 6869, 6878]
12016;[6867, 6858, 6827, 6854, 6820, 6835, 6823, 6833, 6808, 6824]
12017;[6871, 1409, 6875, 6882, 6870, 6879, 6868, 4975, 6872, 6877]
12018;[6871, 6875, 1409, 6868, 6882, 6870, 6869, 6879, 4975, 6877]
12019;[6871, 6875, 6868, 6869, 6882, 4975, 1409, 6879, 5397, 6876]
12020;[5397, 6871, 6875, 4975, 1409, 6879, 6868, 6869, 6878, 6877]
12021;[6871, 6875, 6869, 6868, 6879, 1409, 6882, 4975, 5397, 6877]
12022;[6871, 4975, 6875, 6868, 1409, 6869, 6879, 5397, 6882, 6876]
12023;[6871, 4975, 1409, 6868, 6875, 6879, 6869, 6882, 5397, 6878]
12024;[6871, 6868, 6875, 6869, 4975, 1409, 6879, 6882, 5397, 6878]
12025;[6871, 6875, 4975, 6869, 1854, 6808, 6833, 1860, 1409, 6879]
12026;[6871, 6875, 6868, 1409, 4975, 6869, 5397, 6882, 6879, 6808]
12027;[6868, 6875, 6871, 6869, 5397, 6879, 6878, 6833, 1854, 1409]
12028;[6871, 6875, 6868, 6870, 6882, 1409, 6869, 6879, 6876, 6874]
12029;[6871, 6875, 6882, 6868, 6876, 6879, 6869, 6870, 1409, 6878]
12030;[6871, 6875, 6882, 6868, 6876, 6870, 6879, 1409, 6878, 6869]
12031;[6875, 6871, 6882, 6868, 6876, 6870, 6879, 1409, 6878, 6869]
12032;[6875, 6871, 6882, 6868, 6870, 6876, 6879, 1409, 6874, 6869]
12033;[6875, 6871, 6868, 6882, 1409, 6870, 6879, 6869, 6876, 6874]
12034;[6875, 6871, 6868, 6882, 6879, 1409, 6870, 6876, 6878, 6874]
12035;[6871, 6868, 6875, 6882, 1409, 6879, 4975, 6870, 6869, 6874]
12036;[6871, 6875, 6868, 6879, 6882, 1409, 6869, 6878, 6870, 1854]
12037;[6871, 6875, 6882, 6868, 6876, 6870, 6879, 1409, 6878, 6874]
12038;[6871, 6875, 6868, 6882, 6879, 6870, 6869, 6876, 6878, 1409]
12039;[6871, 6875, 6882, 6879, 6876, 1409, 6868, 6870, 6869, 6878]
